repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,PullRequestEvent,PushEvent,IssuesEvent,DeleteEvent,CreateEvent,ReleaseEvent,WatchEvent,ForkEvent,GollumEvent,CommitCommentEvent,DiscussionEvent,MemberEvent,total
hyperledger/aries-askar,2023-09,18,0,6,6,7,2,1,1,1,0,0,0,0,0,0,42
hyperledger/aries-askar,2023-10,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9
hyperledger/aries-askar,2023-11,1,0,2,2,1,1,1,1,0,0,0,0,0,0,0,9
hyperledger/aries-askar,2023-12,2,0,1,3,4,0,1,1,0,0,0,0,0,0,0,12
hyperledger/aries-askar,2024-01,1,0,1,4,2,3,0,3,1,0,0,0,0,0,0,15
hyperledger/aries-askar,2024-02,0,0,4,1,0,2,0,1,0,0,0,0,0,0,0,8
hyperledger/aries-askar,2024-03,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-askar,2024-04,1,0,5,2,3,0,0,1,0,0,0,0,0,0,0,12
hyperledger/aries-askar,2024-05,7,2,5,1,1,0,0,0,0,0,0,0,0,0,0,16
hyperledger/aries-askar,2024-06,4,0,4,7,2,0,1,0,0,0,0,0,0,0,0,18
hyperledger/aries-askar,2024-07,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11
hyperledger/aries-askar,2024-08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-askar,2024-09,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,5
hyperledger/aries-askar,2024-10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
hyperledger/aries-javascript-docs,2022-06,4,1,1,8,7,6,4,3,0,0,0,0,0,0,0,34
hyperledger/aries-javascript-docs,2022-07,15,9,2,10,7,4,2,2,0,0,0,0,0,0,0,51
hyperledger/aries-javascript-docs,2022-08,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,4
hyperledger/aries-javascript-docs,2022-09,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,4
hyperledger/aries-javascript-docs,2022-10,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5
hyperledger/aries-javascript-docs,2022-11,4,3,4,2,1,0,0,0,0,0,0,0,0,0,0,14
hyperledger/aries-javascript-docs,2022-12,8,10,1,7,6,0,0,0,0,0,0,0,0,0,0,32
hyperledger/aries-javascript-docs,2023-01,3,1,2,7,5,2,1,0,0,0,0,0,0,0,0,21
hyperledger/aries-javascript-docs,2023-02,3,0,1,3,3,3,1,0,0,0,0,0,0,0,0,14
hyperledger/aries-javascript-docs,2023-03,20,55,4,7,4,1,0,0,0,0,0,0,0,0,0,91
hyperledger/aries-javascript-docs,2023-04,13,18,2,6,9,1,1,0,0,0,0,0,0,0,0,50
hyperledger/aries-javascript-docs,2023-05,2,0,1,4,3,1,0,0,0,0,0,0,0,0,0,11
hyperledger/aries-javascript-docs,2023-06,3,1,2,7,3,0,0,0,0,0,0,0,0,0,0,16
hyperledger/aries-javascript-docs,2023-07,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
hyperledger/aries-javascript-docs,2023-08,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,6
hyperledger/indy-vdr,2021-05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
hyperledger/indy-vdr,2022-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
