repo,month,IssueCommentEvent,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,CreateEvent,IssuesEvent,DeleteEvent,ForkEvent,CommitCommentEvent,GollumEvent,WatchEvent,total
open-quantum-safe/liboqs,2024-12,1,3,4,3,0,1,0,0,0,0,0,0,12
open-quantum-safe/liboqs,2025-01,8,23,13,12,0,0,1,0,0,0,0,0,57
open-quantum-safe/liboqs,2025-02,6,6,9,9,2,2,1,0,0,0,0,0,35
open-quantum-safe/liboqs,2025-03,9,6,10,4,3,2,1,1,0,0,0,0,36
open-quantum-safe/liboqs,2025-04,0,0,5,0,0,0,1,0,0,0,0,0,6
open-quantum-safe/liboqs,2025-05,1,0,3,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/liboqs,2025-06,1,0,5,0,0,0,0,0,0,0,0,0,6
open-quantum-safe/liboqs,2025-07,5,0,1,0,0,0,0,1,0,0,0,0,7
open-quantum-safe/liboqs,2025-08,0,9,0,0,0,1,0,0,0,0,0,0,10
open-quantum-safe/liboqs,2025-09,2,4,4,1,1,1,1,1,0,0,0,0,15
open-quantum-safe/liboqs,2025-10,1,2,0,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/liboqs,2025-11,1,0,1,1,0,1,0,0,0,0,0,0,4
open-quantum-safe/liboqs,2025-12,0,0,1,1,0,1,2,0,0,0,0,0,5
open-quantum-safe/liboqs,2026-01,1,0,2,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/liboqs,2026-02,3,2,3,1,0,0,0,0,0,0,0,0,9
open-quantum-safe/liboqs,2026-03,1,3,3,0,0,1,0,0,0,0,1,0,9
open-quantum-safe/liboqs,2026-04,1,0,0,0,0,1,0,0,0,0,0,0,2
open-quantum-safe/liboqs,2026-05,0,0,2,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/oqs-provider,2021-02,1,0,1,0,0,0,0,0,1,0,0,0,3
open-quantum-safe/oqs-provider,2021-03,2,0,18,16,1,0,1,0,0,0,0,0,38
open-quantum-safe/oqs-provider,2021-04,0,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-provider,2021-06,4,1,0,0,1,1,0,0,0,0,0,0,7
open-quantum-safe/oqs-provider,2021-07,4,1,11,3,0,0,0,0,0,0,0,0,19
open-quantum-safe/oqs-provider,2021-10,2,0,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/oqs-provider,2021-11,1,0,4,1,0,0,0,0,0,0,0,0,6
open-quantum-safe/oqs-provider,2022-01,0,0,5,3,0,0,0,0,0,0,0,0,8
open-quantum-safe/oqs-provider,2022-02,0,0,3,1,0,0,0,0,0,0,0,0,4
open-quantum-safe/oqs-provider,2022-03,0,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-provider,2022-05,1,2,1,0,1,1,1,0,0,0,0,0,7
open-quantum-safe/oqs-provider,2022-07,0,1,1,0,1,1,0,0,0,0,0,0,4
open-quantum-safe/oqs-provider,2022-09,0,0,1,3,0,0,0,0,0,0,0,0,4
open-quantum-safe/oqs-provider,2022-10,2,0,7,1,0,0,0,0,0,0,0,0,10
open-quantum-safe/oqs-provider,2022-11,1,0,2,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/oqs-provider,2023-01,2,0,2,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/oqs-provider,2023-02,1,0,1,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/oqs-provider,2023-03,9,11,4,4,3,3,0,1,0,0,0,0,35
open-quantum-safe/oqs-provider,2023-04,7,3,1,0,1,1,0,0,0,0,0,0,13
open-quantum-safe/oqs-provider,2023-05,9,1,0,0,1,1,0,0,0,0,0,0,12
open-quantum-safe/oqs-provider,2023-06,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-provider,2023-08,0,0,1,0,0,0,0,0,0,0,0,1,2
open-quantum-safe/oqs-provider,2023-09,0,2,3,3,2,1,0,1,0,0,0,0,12
open-quantum-safe/oqs-provider,2024-01,0,0,3,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/oqs-provider,2024-02,0,0,10,7,0,0,0,0,0,0,0,0,17
open-quantum-safe/oqs-provider,2024-03,3,2,3,0,1,1,0,0,0,0,0,0,10
open-quantum-safe/oqs-provider,2024-04,2,0,1,0,1,1,0,0,0,0,0,0,5
open-quantum-safe/oqs-provider,2024-05,0,1,0,0,1,1,0,0,0,0,0,0,3
open-quantum-safe/oqs-provider,2024-06,1,0,1,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/oqs-provider,2024-07,1,11,1,1,1,1,0,2,0,0,0,0,18
open-quantum-safe/oqs-provider,2024-08,3,0,3,0,0,0,0,0,0,0,0,0,6
open-quantum-safe/oqs-provider,2024-09,8,4,5,3,1,1,0,0,0,0,0,0,22
open-quantum-safe/oqs-provider,2024-10,1,1,0,0,0,0,0,1,0,0,0,0,3
open-quantum-safe/oqs-provider,2024-11,2,9,4,4,1,0,0,0,0,0,0,0,20
open-quantum-safe/oqs-provider,2025-03,6,15,2,0,3,2,1,2,0,0,0,0,31
open-quantum-safe/oqs-provider,2025-04,0,0,3,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/oqs-provider,2025-05,0,0,3,3,0,0,0,0,0,0,0,0,6
open-quantum-safe/oqs-provider,2025-07,1,0,2,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/oqs-provider,2025-10,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-provider,2025-12,0,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-provider,2026-02,1,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-demos,2021-11,0,0,2,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/oqs-demos,2022-01,0,0,2,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/oqs-demos,2022-10,0,0,0,0,1,1,0,0,0,0,0,0,2
open-quantum-safe/oqs-demos,2023-05,0,1,2,2,1,1,0,0,0,0,0,0,7
open-quantum-safe/oqs-demos,2023-06,2,2,1,1,1,0,0,0,0,0,0,0,7
open-quantum-safe/oqs-demos,2023-08,0,1,0,0,2,1,0,1,0,0,0,0,5
