repo,month,IssueCommentEvent,PullRequestEvent,PullRequestReviewEvent,PushEvent,PullRequestReviewCommentEvent,IssuesEvent,DeleteEvent,CreateEvent,ReleaseEvent,ForkEvent,WatchEvent,CommitCommentEvent,total
hyperledger/aries-acapy-plugins,2023-10,2,0,4,0,2,2,0,0,0,1,0,0,11
hyperledger/aries-acapy-plugins,2023-11,15,3,5,2,2,3,0,1,0,0,0,0,31
hyperledger/aries-acapy-plugins,2023-12,6,7,7,4,1,1,1,0,0,0,0,0,27
hyperledger/aries-acapy-plugins,2024-01,0,1,5,1,4,0,0,0,0,0,0,0,11
hyperledger/aries-acapy-plugins,2024-02,2,0,4,0,0,0,0,0,0,0,0,0,6
hyperledger/aries-acapy-plugins,2024-03,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-acapy-plugins,2024-04,2,6,8,4,0,1,0,0,0,0,0,0,21
hyperledger/aries-acapy-plugins,2024-05,0,1,4,1,0,0,0,0,0,0,0,0,6
hyperledger/aries-acapy-plugins,2024-06,0,2,8,2,0,0,0,0,0,0,0,0,12
hyperledger/aries-acapy-plugins,2024-07,2,7,15,5,9,0,0,0,0,0,0,0,38
hyperledger/aries-acapy-plugins,2024-08,13,2,3,1,0,2,0,0,0,0,0,0,21
hyperledger/aries-acapy-plugins,2024-09,2,2,10,1,6,0,0,0,0,0,0,0,21
hyperledger/aries-acapy-plugins,2024-10,0,2,0,1,0,0,0,0,0,0,0,0,3
hyperledger/indy-agent,2018-05,4,7,0,2,0,0,0,0,0,1,0,0,14
hyperledger/indy-agent,2018-06,0,3,0,3,4,0,0,0,0,0,1,0,11
hyperledger/indy-agent,2018-08,0,3,0,1,0,0,0,0,0,0,0,0,4
hyperledger/indy-agent,2018-09,0,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger/indy-agent,2018-10,5,3,0,1,1,0,1,1,0,0,0,0,12
hyperledger/indy-agent,2018-11,1,4,0,2,0,0,0,0,0,0,0,0,7
hyperledger/indy-agent,2018-12,0,6,0,4,1,0,0,0,0,0,0,0,11
hyperledger/indy-agent,2019-01,1,6,0,5,2,0,0,1,0,0,0,0,15
hyperledger/indy-agent,2019-02,3,17,0,9,2,0,0,0,0,0,0,0,31
hyperledger/indy-agent,2019-03,0,8,0,5,0,0,0,0,0,0,0,0,13
hyperledger/indy-agent,2019-04,4,6,0,2,1,0,0,0,0,0,0,0,13
hyperledger/indy-agent,2019-05,8,9,0,3,4,0,0,0,0,0,0,0,24
hyperledger/indy-agent,2019-06,2,6,0,5,0,0,0,0,0,0,0,0,13
hyperledger/indy-agent,2019-07,0,4,0,2,0,0,0,0,0,0,0,0,6
openwallet-foundation/acapy,2024-10,5,1,3,0,1,1,0,0,0,0,0,0,11
openwallet-foundation/acapy,2024-11,16,6,15,5,5,3,2,0,0,0,0,0,52
openwallet-foundation/acapy,2024-12,16,2,18,1,6,0,0,0,0,0,0,0,43
openwallet-foundation/acapy,2025-01,11,4,5,2,1,3,0,0,0,0,0,0,26
openwallet-foundation/acapy,2025-02,4,0,8,0,1,0,0,0,0,0,0,0,13
openwallet-foundation/acapy,2025-03,0,0,2,0,0,0,0,0,0,0,0,0,2
openwallet-foundation/acapy,2025-04,11,2,3,0,0,1,0,0,0,0,0,0,17
openwallet-foundation/acapy,2025-05,0,1,1,1,0,1,0,0,0,0,0,0,4
openwallet-foundation/acapy,2025-06,1,0,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/acapy,2025-07,0,0,0,0,0,1,0,0,0,0,0,0,1
openwallet-foundation/acapy,2025-08,1,0,1,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-protocol-test-suite,2019-07,0,1,0,0,0,0,0,1,1,1,1,0,5
hyperledger/aries-protocol-test-suite,2019-11,8,13,0,4,2,2,0,0,0,0,0,0,29
hyperledger/aries-protocol-test-suite,2019-12,2,2,0,1,6,0,0,0,0,0,0,0,11
hyperledger/aries-protocol-test-suite,2020-01,7,9,0,5,1,1,0,0,0,0,0,0,23
hyperledger/aries-protocol-test-suite,2020-02,1,0,0,0,0,1,0,0,0,0,0,0,2
hyperledger/aries-protocol-test-suite,2020-03,0,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/aries-protocol-test-suite,2020-04,2,3,0,1,0,0,0,0,0,0,0,0,6
hyperledger/aries-protocol-test-suite,2023-06,1,1,2,1,0,0,1,0,0,0,0,0,6
openwallet-foundation/acapy-plugins,2024-10,4,1,4,1,0,0,0,0,0,0,0,0,10
openwallet-foundation/acapy-plugins,2024-11,3,2,4,3,1,1,0,0,0,0,0,0,14
openwallet-foundation/acapy-plugins,2024-12,2,0,2,0,0,1,0,0,0,0,0,0,5
openwallet-foundation/acapy-plugins,2025-01,9,3,3,2,0,1,0,0,0,0,0,0,18
openwallet-foundation/acapy-plugins,2025-02,1,0,5,1,15,0,0,0,0,0,0,0,22
hyperledger/indy-hipe,2018-06,2,1,0,0,6,0,0,0,0,0,0,0,9
hyperledger/indy-hipe,2018-07,6,1,0,0,5,0,0,0,0,0,0,0,12
hyperledger/indy-hipe,2018-08,8,0,0,0,0,0,0,0,0,0,0,0,8
hyperledger/indy-hipe,2018-09,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-hipe,2018-10,5,0,0,0,0,0,0,0,0,0,0,0,5
hyperledger/indy-hipe,2018-11,4,0,0,0,2,0,0,0,0,0,0,0,6
hyperledger/indy-hipe,2018-12,0,0,0,0,5,0,0,0,0,0,0,0,5
