repo,month,PushEvent,PullRequestEvent,IssueCommentEvent,DeleteEvent,PullRequestReviewEvent,CreateEvent,IssuesEvent,PullRequestReviewCommentEvent,ForkEvent,WatchEvent,GollumEvent,ReleaseEvent,total
openwallet-foundation-labs/sd-jwt-js,2024-10,1,0,2,0,2,0,1,0,0,0,0,0,6
openwallet-foundation/digital-wallet-and-agent-overviews-sig,2024-02,0,2,0,0,0,0,5,0,1,1,0,0,9
openwallet-foundation/digital-wallet-and-agent-overviews-sig,2024-03,4,2,14,0,0,0,2,0,0,0,0,0,22
openwallet-foundation/digital-wallet-and-agent-overviews-sig,2024-04,16,22,13,7,3,5,8,0,0,0,0,0,74
openwallet-foundation/digital-wallet-and-agent-overviews-sig,2024-05,0,2,1,0,0,0,0,0,0,0,0,0,3
openwallet-foundation/digital-wallet-and-agent-overviews-sig,2024-07,1,2,0,0,0,0,0,0,0,0,0,0,3
openwallet-foundation/digital-wallet-and-agent-overviews-sig,2024-08,7,13,9,0,0,0,8,0,0,0,0,0,37
openwallet-foundation/digital-wallet-and-agent-overviews-sig,2024-09,3,3,0,0,3,0,0,0,0,0,0,0,9
openwallet-foundation/digital-wallet-and-agent-overviews-sig,2024-10,24,44,6,0,4,0,1,0,0,0,0,0,79
openwallet-foundation/digital-wallet-and-agent-overviews-sig,2024-11,2,3,4,0,1,0,0,0,0,0,0,0,10
openwallet-foundation/digital-wallet-and-agent-overviews-sig,2024-12,7,10,3,0,4,1,1,0,0,0,0,0,26
openwallet-foundation/digital-wallet-and-agent-overviews-sig,2025-01,1,1,2,0,1,0,0,0,0,0,0,0,5
openwallet-foundation/digital-wallet-and-agent-overviews-sig,2025-02,0,1,3,0,2,0,0,1,0,0,0,0,7
openwallet-foundation/digital-wallet-and-agent-overviews-sig,2025-03,0,0,0,0,0,0,0,2,0,0,0,0,2
openwallet-foundation/digital-wallet-and-agent-overviews-sig,2025-04,10,9,3,0,1,2,0,0,0,0,0,0,25
openwallet-foundation/digital-wallet-and-agent-overviews-sig,2025-06,1,1,0,0,0,1,0,0,0,0,0,0,3
