repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssueCommentEvent,PushEvent,DeleteEvent,IssuesEvent,ForkEvent,GollumEvent,CreateEvent,ReleaseEvent,total
hyperledger/indy-vdr,2024-02,4,8,0,0,0,0,0,0,0,0,0,12
hyperledger/indy-vdr,2024-03,1,1,0,0,0,0,0,0,0,0,0,2
hyperledger/indy-vdr,2024-05,3,2,0,1,0,0,0,0,0,0,0,6
hyperledger/indy-vdr,2024-06,3,1,0,1,1,0,0,0,0,0,0,6
hyperledger/indy-vdr,2025-01,0,0,0,2,0,0,1,0,0,0,0,3
hyperledger/indy-vdr,2025-10,0,0,0,0,0,0,1,0,0,0,0,1
openwallet-foundation-labs/oid4vc-ts,2025-01,2,0,0,1,0,1,0,0,0,0,0,4
openwallet-foundation-labs/oid4vc-ts,2025-03,4,2,0,0,0,0,0,0,0,0,0,6
openwallet-foundation-labs/oid4vc-ts,2025-04,1,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/oid4vc-ts,2025-05,0,0,1,0,1,0,0,1,0,0,0,3
openwallet-foundation-labs/oid4vc-ts,2025-06,0,0,2,0,1,0,0,0,0,0,0,3
openwallet-foundation-labs/oid4vc-ts,2025-10,2,0,0,0,0,0,0,0,0,0,0,2
openwallet-foundation-labs/oid4vc-ts,2025-11,2,1,0,0,0,0,0,0,0,0,0,3
openwallet-foundation-labs/oid4vc-ts,2025-12,1,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/oid4vc-ts,2026-01,1,0,0,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/oid4vc-ts,2026-02,2,4,0,0,0,0,0,0,0,0,0,6
hyperledger/anoncreds-rs,2024-01,2,0,1,0,1,1,0,0,0,0,0,5
hyperledger/anoncreds-rs,2024-02,3,1,1,1,0,0,0,0,0,0,0,6
hyperledger/anoncreds-rs,2024-04,2,0,0,1,0,0,1,0,0,0,0,4
hyperledger/anoncreds-rs,2024-05,0,0,0,2,0,0,0,0,0,0,0,2
