repo,month,PushEvent,PullRequestReviewEvent,PullRequestEvent,DeleteEvent,CreateEvent,IssueCommentEvent,PullRequestReviewCommentEvent,IssuesEvent,ReleaseEvent,ForkEvent,WatchEvent,CommitCommentEvent,total
hyperledger/identus-edge-agent-sdk-swift,2025-01,0,0,0,0,0,0,0,2,0,0,0,0,2
hyperledger-identus/prism-vdr-driver,2025-08,0,0,0,0,0,0,0,1,0,0,0,0,1
hyperledger-identus/prism-vdr-driver,2025-09,0,3,0,0,0,0,1,0,0,0,0,0,4
hyperledger-identus/prism-vdr-driver,2025-12,1,3,0,0,0,0,0,0,0,0,0,0,4
hyperledger-identus/prism-vdr-driver,2026-05,1,0,0,2,0,0,0,0,0,0,0,0,3
hyperledger-identus/identus,2025-02,2,2,0,0,1,0,0,1,0,0,0,0,6
hyperledger-identus/identus,2025-03,0,1,0,1,2,0,0,0,1,0,0,0,5
hyperledger-identus/integration,2026-04,1,1,0,0,0,0,0,0,0,0,0,0,2
hyperledger-identus/integration,2026-05,3,0,0,4,0,0,0,0,0,0,0,0,7
hyperledger/identus-edge-agent-sdk-kmp,2024-08,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/identus-edge-agent-sdk-kmp,2024-09,0,1,0,0,0,1,0,1,0,0,0,0,3
hyperledger/identus-edge-agent-sdk-kmp,2024-10,0,1,0,0,0,0,0,1,0,0,0,0,2
hyperledger/identus-edge-agent-sdk-kmp,2025-01,0,0,0,0,0,0,0,2,0,0,0,0,2
hyperledger/identus-keycloak-plugins,2024-06,0,0,0,0,0,0,0,0,0,0,1,0,1
hyperledger/identus-keycloak-plugins,2024-07,2,1,1,1,1,0,0,0,0,0,0,0,6
hyperledger-identus/keycloak-plugins,2026-05,3,0,2,0,1,0,0,0,0,0,0,0,6
hyperledger-identus/edge-agent-sdk-swift,2025-02,0,2,0,0,0,0,0,1,0,0,0,0,3
LF-Decentralized-Trust-Mentorships/mentorship-program,2026-03,0,0,0,0,0,0,0,2,0,0,0,0,2
hyperledger-labs/governance,2024-05,0,0,1,0,0,0,0,0,0,1,0,0,2
hyperledger-identus/edge-agent-sdk-ts,2025-02,0,0,0,0,0,0,0,1,0,0,0,0,1
